project_id,title,author,views,loves,favorites,comments,remix_count,theme,source,love_rate,favorite_rate,remix_rate,engagement_score
885077773,Bird Animation,Birdsaresocute,43969,2962,2027,0,0,animation,scratch_search_popular,0.06736564397643795,0.04610066182992563,0.0,0.03864995792490164
389603136,- Platformer Tutorial -,-LilWolfy-,25804,1578,1306,0,0,tutorial,scratch_search_popular,0.06115330956440862,0.05061230816927608,0.0,0.03859091613703302
205764177,Free Music,superstarcoder,31424,1788,1574,0,0,music,scratch_search_popular,0.05689918533604888,0.05008910386965377,0.0,0.037105397148676174
318833812,Tutorial: Avatar Maker,Rosyda,46924,2794,2160,0,0,tutorial,scratch_search_popular,0.05954309095558776,0.046031881340039216,0.0,0.03627567982269202
340042024,Home Kingdom | Music,Rosyda,39537,2455,1740,0,0,music,scratch_search_popular,0.06209373498242153,0.04400940890811139,0.0,0.036231884057971016
170940447,Blob Story,Mathaino,14827,820,681,0,0,story,scratch_search_popular,0.05530451203884805,0.04592972280299454,0.0,0.03496324273285223
551227826,a normal platformer tutorial,-Heron-,90565,4859,4266,0,0,tutorial,scratch_search_popular,0.0536520730966709,0.04710428973665323,0.0,0.03493733782366257
415248749,Swing || #animation,95041579,45317,2479,1881,0,0,animation,scratch_search_popular,0.054703532890526735,0.04150760200366308,0.0,0.03301410066862326
168975656,Blob Story,MathainoTest,46263,2457,1954,0,0,story,scratch_search_popular,0.053109396277803,0.0422367766897953,0.0,0.03282752955925902
169815972,Snake & Lasers! (Game),-TotallyEpic-,152147,8149,5432,0,0,game,scratch_search_popular,0.053560043904907755,0.03570231420928444,0.0,0.0303489388551861
439498257,◁ Eye Tutorial ▷,-livii-,77265,4064,2745,0,0,tutorial,scratch_search_popular,0.05259820099657025,0.035527082119976704,0.0,0.029990293146961756
204967236,Interactive story,pinkant123,31937,1578,1197,0,0,story,scratch_search_popular,0.04940977549550678,0.037480038826439556,0.0,0.029814948179227856
391914089,Thumbnail Tutorial!,-BoyMcBoy-,32512,1468,1254,0,0,tutorial,scratch_search_popular,0.04515255905511811,0.03857037401574803,0.0,0.02897391732283465
268257007,What Teachers See 6 (Music) ,DerpAnimation,352573,16050,13401,0,0,music,scratch_search_popular,0.04552248754158713,0.038009149878181256,0.0,0.028860406213748642
391890547,Basically: Anime - Animation,Mallonations,88898,3998,3143,0,0,animation,scratch_search_popular,0.04497289027874643,0.03535512609957479,0.0,0.027633917523453847
494879046,Paper Plane || animation,BluePlanet1,112090,5207,3666,0,0,animation,scratch_search_popular,0.04645374252832545,0.03270586136140601,0.0,0.02701846730306004
484078902,E.T. End Credits | Piano Music | v1.0,griffpatch,227040,9742,7979,0,0,music,scratch_search_popular,0.042908738548273435,0.03514358703312192,0.0,0.0269300563777308
1066728200,The Donut Game,LBV_stuff,195779,8183,6939,0,0,game,scratch_search_popular,0.041797128394771656,0.035443025043544,0.0,0.026716348535849095
880566119,Skittles...        | #all #animations #music,scratchhaus,272606,10867,9981,0,0,music,scratch_search_popular,0.03986339258857105,0.03661328070548704,0.0,0.026604330058766133
376903068,|| Motion-Capture Tutorial ||,warrior1785,54790,2368,1859,0,0,tutorial,scratch_search_popular,0.043219565614163166,0.033929549187807995,0.0,0.026537689359372146
799390683,MinecraftClicker ver1.8#game#games#all#Story,-TNTOP,93615,3677,3442,0,0,story,scratch_search_popular,0.03927789349997329,0.036767612027986965,0.0,0.026490412861186773
508432699,Rage Story,LawsOfScienceChanger,109280,4626,3720,0,0,story,scratch_search_popular,0.04233162518301611,0.03404099560761347,0.0,0.02631588579795022
600889540,lip ⤷ tutorial,witchcroft,23464,1066,650,0,0,tutorial,scratch_search_popular,0.04543129901125128,0.027702011592226388,0.0,0.024710194340265938
419783951,Hold Music,weisboys,155817,6189,4856,0,0,music,scratch_search_popular,0.03971967115269836,0.031164763793424338,0.0,0.024381806863179242
288218204,Music Composer,EIephant_Lover,62700,2264,1878,0,0,music,scratch_search_popular,0.036108452950558215,0.029952153110047848,0.0,0.022813397129186605
436230375,Cars - Music Video,PandaTimmyMrT,247084,9181,7086,0,0,music,scratch_search_popular,0.03715740395978696,0.028678506095093165,0.0,0.022618623625973354
417920977,RUN || Animation,95041579,109389,4036,3149,0,0,animation,scratch_search_popular,0.036895848759930155,0.02878717238479189,0.0,0.0225836235818958
344661889,Taco Story,myusernamegud,87247,3184,2456,0,0,story,scratch_search_popular,0.03649409148738639,0.02814996504177794,0.0,0.022208213462927093
892533197,GUTTER - Animation,-plxtinumboi-,148957,5421,3883,0,0,animation,scratch_search_popular,0.03639305302872641,0.02606792564297079,0.0,0.02134508616580624
1080471406,Death by Sausage | a short story game | #games,grege96,210740,6880,5811,0,0,story,scratch_search_popular,0.03264686343361488,0.027574262123944197,0.0,0.020823763879662144
983805250,Saturday Mornings | Animation,---TurtIe---,107339,3544,2900,0,0,animation,scratch_search_popular,0.03301689041261797,0.027017207166081292,0.0,0.020711949990217908
507400324,ANIMATION CONTEST,Derble,77568,2367,1993,0,0,animation,scratch_search_popular,0.030515160891089108,0.02569358498349835,0.0,0.019431982260726073
514113553,Friday Night Funkin' [+Story Mode!],Houchdj,95578,2658,2434,0,0,story,scratch_search_popular,0.02780974701291092,0.02546611144824123,0.0,0.018529368683169768
1033947809,Figure Skating Animation,cookiecorner,110948,3481,2439,0,0,animation,scratch_search_popular,0.031375058586004256,0.021983271442477557,0.0,0.0182058261527923
400349603,Nitro Racing - Car Racing Game,alexandretherrien,887923,24476,21981,0,0,game,scratch_search_popular,0.027565453310703744,0.02475552497232305,0.0,0.018171845982140344
200344930,Cubit - A 3D game,Raytracing,425239,11873,9787,0,0,game,scratch_search_popular,0.027920769261521167,0.023015292576645134,0.0,0.017582347809114406
432694892,Music Marker,InformatyczkaXD,204069,5603,4628,0,0,music,scratch_search_popular,0.027456399551132216,0.022678603805575567,0.0,0.017308361387569894
16586232,Not quite ball physics game v1.0,griffpatch,1505933,38527,35458,0,0,game,scratch_search_popular,0.025583475493265638,0.02354553622239502,0.0,0.017093257136937698
326365622,Bullies-Gacha life story,win300,84712,2270,1888,0,0,story,scratch_search_popular,0.026796675795636982,0.022287279252054017,0.0,0.0169539144395127
1085596439,Mosquito game,dragondani8,155977,4179,3448,0,0,game,scratch_search_popular,0.026792411701725253,0.02210582329446008,0.0,0.016880052828301607
552272781,Rain☔️Music ,cherryowl,155513,4289,3325,0,0,music,scratch_search_popular,0.027579687871753487,0.02138084918945683,0.0,0.016826246037308777
826031084,3D-ish Room Tutorial,ilovestories,77285,1956,1746,0,0,tutorial,scratch_search_popular,0.025308921524228506,0.022591706023161028,0.0,0.016629358866532964
169649124,Music Box ,LegendaryCodingCat,175263,4235,3693,0,0,music,scratch_search_popular,0.02416368543274964,0.021071190154225365,0.0,0.01567758169151504
196319452,Multiplayer Tank Game IV,Tank101,421399,9938,9049,0,0,game,scratch_search_popular,0.023583349746914443,0.021473710189155646,0.0,0.015664488999736593
349628208,Pop Music Master !!!,Dad76,98528,2442,2023,0,0,music,scratch_search_popular,0.024784832737901916,0.02053223449171809,0.0,0.01564834361805781
315938995,Music Masher,Mr_Custom,57745,1410,1110,0,0,music,scratch_search_popular,0.024417698502034808,0.01922244350160187,0.0,0.01501428695125119
837539342,Game Quiz - Quiz Game,NormanTheGamer,290432,6636,5712,0,0,game,scratch_search_popular,0.022848721903922432,0.019667254297047156,0.0,0.014721518289995593
349679464,Cubes Adventures -  Game,Coltroc,480676,10723,9353,0,0,game,scratch_search_popular,0.022308165999550635,0.019458013297938736,0.0,0.014475655119040684
926935828,3D Platformer Tutorial,Chrome_Cat,299730,6230,5547,0,0,tutorial,scratch_search_popular,0.020785373502819202,0.018506655990391353,0.0,0.013638274447002302
121424480,Music Maker,uplift,439164,9021,7864,0,0,music,scratch_search_popular,0.020541301199551876,0.01790675009791331,0.0,0.013325090399030886
135416710,Music,bubblebee3,813512,15512,13496,0,0,music,scratch_search_popular,0.019067942451985957,0.0165897983066015,0.0,0.012356302058236387
188805305,Burnout - a Game,TheNiftyArrow,547108,9216,7939,0,0,game,scratch_search_popular,0.016844937379822632,0.014510846121789482,0.0,0.010857819662662582
411210603,Tower Defense Game,warfame,1142484,18303,16150,0,0,game,scratch_search_popular,0.016020355646118457,0.014135865360040053,0.0,0.010460452837851558
790047492,GHOST HUNTER - Game based on the story,kaplin86,183233,2995,2314,0,0,story,scratch_search_popular,0.016345308978186243,0.012628729541076116,0.0,0.00995508450988632
141677189,ESCAPE [GAME],_Elektron_,585324,9486,7345,0,0,game,scratch_search_popular,0.016206408758226213,0.012548605558630776,0.0,0.009881364850920175
336338957,Miner cat - Game,Coltroc,2619335,38539,33987,0,0,game,scratch_search_popular,0.014713276461391919,0.012975430786821847,0.0,0.009604155253146316
218775824,    Fortnite Music Simulator,ocote2026,206906,2869,2507,0,0,music,scratch_search_popular,0.013866200110194968,0.01211661334132408,0.0,0.009006505369588122
535257700,Tetris #games #music,Dingo_lingos,129740,1778,1520,0,0,music,scratch_search_popular,0.013704331740403884,0.01171573917064899,0.0,0.008797595190380762
339374129,HALLOWEEN RUN - Game,Coltroc,913063,11644,9507,0,0,game,scratch_search_popular,0.012752679716514632,0.010412205948549004,0.0,0.00799068629437399
1110565816,Story Starter,Scratchteam,27897,356,263,0,0,story,scratch_search_popular,0.0127612288059648,0.009427537011148152,0.0,0.007599383446248701
836040447,Mario Game,NormanTheGamer,1216717,14144,12084,0,0,game,scratch_search_popular,0.01162472456618918,0.00993164392377192,0.0,0.007460074939365522
120738613,Dodge! (Game),jacko1234567,671294,5477,4313,0,0,game,scratch_search_popular,0.008158869288270117,0.006424904736225857,0.0,0.005017622680971378
907856686,Suika Game (watermelon game),jebiminecraft,1735229,9276,8353,0,0,game,scratch_search_popular,0.005345692124785835,0.004813773859242786,0.0,0.003529217181132865
911281961,Suika Game / スイカゲーム,-SolarCode-,2698056,13265,12368,0,0,game,scratch_search_popular,0.004916502845011371,0.004584041250441058,0.0,0.0033085673536798347
918430269,online!!スイカゲーム /suika-game/watermelon game,SMEcreater,1311555,5621,5902,0,0,game,scratch_search_popular,0.0042857524084007155,0.004500001906134321,0.0,0.0030857264849739434
284647092,Music video(loud Indian music),acervantes-lanier,142192,619,533,0,0,music,scratch_search_popular,0.00435326881962417,0.0037484527962191967,0.0,0.00280536176437493
